GROUPS,FILE NAMES,ATTRIBUTE NAMES,% DISTRIBUTION,expected_dist,upper,lower,real_dist,difference
1-BACKGROUND,JRS BG 1.png,BLUE SMOKE,100,4840,4985,4694,4840.0,0.0
2-SKELETON,JRS SKELETON 1 BONES.png,BONES,37,1790,1843,1736,1791.0,0.0005583472920156485
2-SKELETON,JRS SKELETON 2 DIRTY.png,DIRTY,32,1548,1594,1501,1549.0,0.0006455777921239303
2-SKELETON,JRS SKELETON 3 BURNED.png,BURNED,12,580,597,562,581.0,0.0017211703958691649
2-SKELETON,JRS SKELETON 4 OIL STAINS.png,STAINED,10,484,498,469,484.0,0.0
2-SKELETON,JRS SKELETON 5 MOSS.png,MOSS,3,145,149,140,145.0,0.0
2-SKELETON,JRS SKELETON 6 ROCK 1.png,ROCK 1,2.2,106,109,102,106.0,0.0
2-SKELETON,JRS SKELETON 7 ROCK 2.png,ROCK 2,2.4,116,119,112,115.0,-0.008695652173912993
2-SKELETON,JRS SKELETON 8 CAMO.png,CAMO,0.5,24,24,23,24.0,0.0
2-SKELETON,JRS SKELETON 9 PEELING PAINT.png,PEELING,0.2,9,9,8,10.0,0.09999999999999998
2-SKELETON,JRS SKELETON 10 SPLATTERS.png,SPLATTERS,0.2,9,9,8,10.0,0.09999999999999998
2-SKELETON,JRS SKELETON 11 ZOMBIE.png,ZOMBIE,0.2,9,9,8,10.0,0.09999999999999998
2-SKELETON,JRS SKELETON 12 LAVA.png,LAVA,0.2,9,9,8,10.0,0.09999999999999998
2-SKELETON,JRS SKELETON 13 GOLD.png,GOLD,0.1,4,4,3,5.0,0.19999999999999996
3-TEETH,JRS TEETH 1 WHITE.png,WHITE,30,1452,1495,1408,1452.0,0.0
3-TEETH,JRS TEETH 2 WHITE GOLD TOOTH.png,GOLD TOOTH,10,484,498,469,484.0,0.0
3-TEETH,JRS TEETH 3 WHITE RED TOOTH.png,RED TOOTH,6,290,298,281,290.0,0.0
3-TEETH,JRS TEETH 4 WHITE BLUE TOOTH.png,BLUE TOOTH,6,290,298,281,290.0,0.0
3-TEETH,JRS TEETH 5 WHITE ROSE TOOTH.png,PINK TOOTH,6,290,298,281,290.0,0.0
3-TEETH,JRS TEETH 6 WHITE METAL TOOTH.png,METAL TOOTH,6,290,298,281,290.0,0.0
3-TEETH,JRS TEETH 7 METAL.png,METALLIC,1.1,53,54,51,53.0,0.0
3-TEETH,JRS TEETH 8 CRACKED 1.png,CRACKED 1,16,774,797,750,774.0,0.0
3-TEETH,JRS TEETH 9 CRACKED 2.png,CRACKED 2,16,774,797,750,774.0,0.0
3-TEETH,JRS TEETH 10 YELLOW.png,YELLOW,2,96,98,93,97.0,0.010309278350515427
3-TEETH,JRS TEETH 11 WHITE RED GLOW.png,RED GLOW,0.3,14,14,13,15.0,0.06666666666666665
3-TEETH,JRS TEETH 12 WHITE BLUE GLOW.png,BLUE GLOW,0.3,14,14,13,15.0,0.06666666666666665
